epoch,plain,warmup
793,0.861169,0.864760
794,0.854625,0.859762
795,0.854970,0.864253
796,0.855470,0.862025
797,0.854947,0.849001
798,0.851598,0.854073
799,0.857011,0.861578
800,0.854376,0.866976
801,0.860042,0.858526
802,0.860035,0.857007
803,0.861151,0.860316
804,0.862749,0.866546
805,0.863098,0.871839
806,0.865900,0.877639
807,0.868780,0.881014
808,0.866318,0.880652
809,0.861731,0.881525
810,0.851068,0.885666
811,0.847284,0.889108
812,0.851574,0.880677
813,0.849835,0.877123
814,0.850041,0.878434
815,0.842639,0.876582
816,0.846564,0.868449
817,0.854078,0.869349
818,0.856701,0.875739
819,0.858247,0.877267
820,0.865779,0.872741
821,0.860245,0.872449
822,0.850152,0.877194
823,0.852482,0.880401
824,0.858380,0.877761
825,0.861129,0.882418
826,0.856739,0.878749
827,0.853157,0.882799
828,0.855201,0.882429
829,0.858114,0.880338
830,0.859806,0.877047
831,0.867514,0.871587
832,0.865267,0.870270
833,0.866443,0.876224
834,0.872479,0.878446
835,0.874952,0.879313
836,0.872236,0.878387
837,0.875572,0.880441
838,0.875156,0.872793
839,0.877089,0.870278
840,0.881149,0.866499
841,0.878638,0.860268
842,0.882542,0.862993
843,0.880352,0.857278
844,0.881253,0.859269
845,0.881520,0.857244
846,0.883109,0.846201
847,0.886121,0.853414
848,0.889944,0.851437
849,0.890479,0.858334
850,0.889767,0.862541
851,0.891894,0.865817
852,0.888867,0.867264
853,0.888544,0.871114
854,0.889578,0.872130
855,0.891317,0.869262
856,0.894141,0.872459
857,0.898015,0.876157
858,0.893752,0.879100
859,0.898922,0.880022
860,0.894020,0.880776
861,0.892806,0.883213
862,0.888969,0.882355
863,0.885929,0.885934
864,0.881209,0.892121
865,0.883027,0.897888
866,0.885405,0.898573
867,0.884719,0.897137
868,0.885893,0.892149
869,0.889963,0.880444
870,0.892233,0.880437
871,0.888901,0.883852
872,0.886669,0.883509
873,0.889368,0.888224
874,0.890105,0.895049
875,0.892938,0.899854
876,0.889177,0.901658
877,0.892437,0.895932
878,0.892577,0.897770
879,0.892650,0.897055
880,0.890243,0.893166
881,0.889373,0.891271
882,0.889727,0.894275
883,0.887569,0.892001
884,0.882634,0.893055
885,0.883786,0.891816
886,0.879544,0.890075
887,0.881628,0.889218
888,0.878610,0.887521
889,0.871257,0.893467
890,0.876756,0.893782
891,0.879156,0.887990
892,0.880889,0.887523
893,0.883628,0.890743
894,0.881627,0.893473
895,0.884861,0.893606
896,0.884309,0.891473
897,0.887185,0.888506
898,0.890468,0.889660
899,0.891515,0.888565
900,0.886373,0.890961
901,0.885892,0.886283
902,0.886138,0.883675
903,0.884464,0.880765
904,0.882340,0.873661
905,0.880579,0.876192
906,0.879107,0.875279
907,0.878179,0.880706
908,0.878422,0.880702
909,0.880188,0.882623
910,0.881784,0.886856
911,0.876499,0.882914
912,0.869127,0.886460
913,0.868645,0.883243
914,0.874507,0.881032
915,0.875161,0.868170
916,0.877429,0.860442
917,0.884739,0.863946
918,0.887061,0.853825
919,0.883068,0.861083
920,0.876887,0.866622
921,0.871162,0.873349
922,0.866079,0.881215
923,0.867471,0.882085
924,0.866215,0.880763
925,0.872728,0.879190
926,0.872473,0.872764
927,0.871844,0.876726
928,0.873790,0.877477
929,0.872687,0.876130
930,0.876364,0.869725
931,0.877279,0.872674
932,0.882185,0.875000
933,0.880734,0.865036
934,0.884196,0.865231
935,0.884157,0.869038
936,0.889651,0.869947
937,0.890093,0.870579
938,0.884129,0.875049
939,0.886226,0.874406
940,0.885643,0.874595
941,0.884791,0.874645
942,0.887472,0.877263
943,0.876431,0.867115
944,0.879659,0.865227
945,0.876802,0.862957
946,0.875141,0.862058
947,0.880556,0.867378
948,0.879145,0.868092
949,0.878901,0.870857
950,0.874756,0.869124
951,0.878320,0.872690
952,0.878014,0.874407
953,0.882623,0.875401
954,0.886405,0.880349
955,0.888486,0.883885
956,0.888401,0.884215
957,0.890396,0.883223
958,0.891265,0.886040
959,0.894458,0.886575
960,0.893240,0.891593
961,0.886912,0.883790
962,0.889283,0.886772
963,0.887775,0.890767
964,0.887277,0.890578
965,0.891610,0.890386
966,0.884977,0.890885
967,0.877003,0.885623
968,0.881425,0.885012
969,0.880917,0.880892
970,0.885850,0.881499
971,0.887180,0.883065
972,0.890007,0.883811
973,0.888887,0.888409
974,0.885117,0.877733
975,0.888406,0.878255
976,0.890031,0.874924
977,0.892155,0.877204
978,0.893721,0.878845
979,0.894672,0.880097
980,0.896607,0.884202
981,0.889390,0.883684
982,0.871401,0.879100
983,0.871211,0.877565
984,0.877453,0.881526
985,0.882068,0.884975
986,0.885001,0.889464
987,0.888109,0.892671
988,0.890611,0.891250
989,0.884406,0.885110
990,0.884849,0.882306
991,0.880997,0.884727
992,0.886461,0.883099
993,0.890968,0.887876
994,0.881877,0.889678
995,0.884799,0.888029
996,0.878973,0.885417
997,0.884933,0.882675
998,0.881417,0.876613
999,0.881660,0.880575
